Categoría|Indicador |Indicador |Tipo de Indicador|Cantidad de veces|NOTA|PR|VALORACION|GRADO|TURNO|NF|14||344|6,88||||||
Socio-Emocional|For-37. Es empático con las necesidades ajenas.|37. Es empático con las necesidades ajenas.|Fortaleza/Logro|12|4|12|Muy bueno |SEPTIMO|TT|0,00%|||Socio-Emocional|9|72|81||||
Socio-Emocional|For-39. Posee un liderazgo positivo y ético.|39. Posee un liderazgo positivo y ético.|Fortaleza/Logro|12|4|12|Muy bueno |SEPTIMO|TT|0,00%|||Total general|34|310|344||||
Socio-Emocional|For-41. Se comunica de manera asertiva.|41. Se comunica de manera asertiva.|Fortaleza/Logro|12|4|12|Muy bueno |SEPTIMO|TT|0,00%||||||||||
Socio-Emocional|For-43. Tiene una autoestima académica sólida.|43. Tiene una autoestima académica sólida.|Fortaleza/Logro|12|4|12|Muy bueno |SEPTIMO|TT|0,00%||||Etiquetas de columna||||||
Actitudinal|For-45. Muestra curiosidad e iniciativa propia.|45. Muestra curiosidad e iniciativa propia.|Fortaleza/Logro|12|4|12|Muy bueno |SEPTIMO|TT|0,00%||||Alerta/Mejora|Fortaleza/Logro|(en blanco)|Total general|||
Actitudinal|For-47. Es persistente en tareas complejas.|47. Es persistente en tareas complejas.|Fortaleza/Logro|10|3|10|Bueno|SEPTIMO|TT|0,00%|||Suma de Cantidad de veces|34|310||344|||
Actitudinal|For-49. Acepta retroalimentación constructiva.|49. Acepta retroalimentación constructiva.|Fortaleza/Logro|12|4|12|Muy bueno |SEPTIMO|TT|0,00%||||||||||
||||||||||||||||||||
||||||||||||||||||||
|||||||||||||Nota |Cantidad de alumnos||% de Alumnos||||
|||||||||||||1|1||7%||Muy bueno |11|79%
|||||||||||||2|0||0%||Bueno|2|14%
|||||||||||||3|2||14%||A mejorar|1|7%
|||||||||||||4|11||79%||||
|||||||||||||5|0||0%||||
||||||||||||||14||||||
